"","ReceiptID","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8"
"1",1,"Coffee Eclair","Blackberry Tart","Bottled Water","Single Espresso",NA,NA,NA,NA
"2",2,"Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"3",3,"Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"4",4,"Opera Cake","Strawberry Cake","Blackberry Tart","Cherry Tart","Apricot Danish","Bottled Water",NA,NA
"5",5,"Casino Cake","Strawberry Cake","Coffee Eclair","Napoleon Cake","Raspberry Cookie",NA,NA,NA
"6",6,"Berry Tart","Ganache Cookie","Bottled Water",NA,NA,NA,NA,NA
"7",7,"Strawberry Cake","Apple Tart","Apple Croissant","Apple Danish","Bottled Water","Cherry Soda",NA,NA
"8",8,"Blackberry Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"9",9,"Casino Cake","Tuile Cookie",NA,NA,NA,NA,NA,NA
"10",10,"Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11",11,"Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"12",12,"Pecan Tart","Green Tea","Cherry Soda",NA,NA,NA,NA,NA
"13",13,"Single Espresso",NA,NA,NA,NA,NA,NA,NA
"14",14,"Lemon Cake","Lemon Tart","Vanilla Meringue",NA,NA,NA,NA,NA
"15",15,"Truffle Cake","Gongolais Cookie","Blueberry Danish",NA,NA,NA,NA,NA
"16",16,"Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"17",17,"Strawberry Cake","Chocolate Eclair","Napoleon Cake","Almond Tart","Blueberry Tart","Gongolais Cookie",NA,NA
"18",18,"Lemon Cake","Lemon Tart","Raspberry Cookie",NA,NA,NA,NA,NA
"19",19,"Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"20",20,"Opera Cake","Cherry Tart","Apricot Croissant","Apricot Danish",NA,NA,NA,NA
"21",21,"Lemon Cake","Vanilla Eclair","Lemon Tart","Vanilla Frappuccino",NA,NA,NA,NA
"22",22,"Chocolate Croissant","Blueberry Danish","Bottled Water",NA,NA,NA,NA,NA
"23",23,"Apricot Tart","Lemon Tart",NA,NA,NA,NA,NA,NA
"24",24,"Strawberry Cake","Napoleon Cake","Almond Bear Claw",NA,NA,NA,NA,NA
"25",25,"Coffee Eclair","Gongolais Cookie","Cherry Soda",NA,NA,NA,NA,NA
"26",26,"Coffee Eclair","Apple Pie","Berry Tart",NA,NA,NA,NA,NA
"27",27,"Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"28",28,"Napoleon Cake","Berry Tart",NA,NA,NA,NA,NA,NA
"29",29,"Chocolate Cake","Casino Cake","Orange Juice",NA,NA,NA,NA,NA
"30",30,"Apricot Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"31",31,"Raspberry Cookie",NA,NA,NA,NA,NA,NA,NA
"32",32,"Vanilla Eclair","Ganache Cookie","Chocolate Meringue","Almond Bear Claw",NA,NA,NA,NA
"33",33,"Strawberry Cake","Chocolate Coffee",NA,NA,NA,NA,NA,NA
"34",34,"Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"35",35,"Strawberry Cake","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA
"36",36,"Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"37",37,"Berry Tart","Gongolais Cookie","Vanilla Meringue","Almond Twist","Bottled Water",NA,NA,NA
"38",38,"Chocolate Cake","Blueberry Tart","Almond Croissant","Apricot Croissant","Hot Coffee","Vanilla Frappuccino",NA,NA
"39",39,"Lemon Cake","Apple Pie","Lemon Tart","Chocolate Meringue","Marzipan Cookie","Walnut Cookie","Chocolate Coffee",NA
"40",40,"Blackberry Tart","Blueberry Tart","Cherry Tart","Ganache Cookie","Vanilla Meringue",NA,NA,NA
"41",41,"Strawberry Cake","Almond Tart","Berry Tart",NA,NA,NA,NA,NA
"42",42,"Opera Cake","Apple Danish",NA,NA,NA,NA,NA,NA
"43",43,"Raspberry Cookie","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"44",44,"Blackberry Tart","Ganache Cookie","Lemon Lemonade",NA,NA,NA,NA,NA
"45",45,"Almond Tart","Lemon Tart","Chocolate Meringue","Apricot Croissant",NA,NA,NA,NA
"46",46,"Apple Pie","Gongolais Cookie","Bottled Water",NA,NA,NA,NA,NA
"47",47,"Vanilla Eclair",NA,NA,NA,NA,NA,NA,NA
"48",48,"Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"49",49,"Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"50",50,"Tuile Cookie","Blueberry Danish",NA,NA,NA,NA,NA,NA
"51",51,"Coffee Eclair","Chocolate Tart","Tuile Cookie",NA,NA,NA,NA,NA
"52",52,"Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"53",53,"Apricot Croissant","Chocolate Croissant",NA,NA,NA,NA,NA,NA
"54",54,"Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"55",55,"Blackberry Tart","Almond Croissant","Hot Coffee",NA,NA,NA,NA,NA
"56",56,"Blueberry Danish","Single Espresso",NA,NA,NA,NA,NA,NA
"57",57,"Chocolate Coffee",NA,NA,NA,NA,NA,NA,NA
"58",58,"Strawberry Cake","Napoleon Cake","Lemon Tart",NA,NA,NA,NA,NA
"59",59,"Chocolate Cake","Casino Cake","Blueberry Tart","Lemon Tart","Chocolate Coffee",NA,NA,NA
"60",60,"Chocolate Tart","Ganache Cookie","Lemon Lemonade",NA,NA,NA,NA,NA
"61",61,"Casino Cake","Strawberry Cake","Chocolate Eclair","Napoleon Cake","Blueberry Danish",NA,NA,NA
"62",62,"Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"63",63,"Apricot Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"64",64,"Lemon Lemonade",NA,NA,NA,NA,NA,NA,NA
"65",65,"Apple Tart","Berry Tart","Bottled Water",NA,NA,NA,NA,NA
"66",66,"Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"67",67,"Lemon Cake","Apple Danish",NA,NA,NA,NA,NA,NA
"68",68,"Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"69",69,"Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"70",70,"Truffle Cake","Apple Tart","Blueberry Tart",NA,NA,NA,NA,NA
"71",71,"Almond Croissant","Single Espresso",NA,NA,NA,NA,NA,NA
"72",72,"Coffee Eclair","Walnut Cookie","Almond Croissant",NA,NA,NA,NA,NA
"73",73,"Chocolate Tart","Lemon Tart","Almond Croissant",NA,NA,NA,NA,NA
"74",74,"Lemon Cake","Apricot Tart","Apple Danish",NA,NA,NA,NA,NA
"75",75,"Lemon Tart","Cheese Croissant","Single Espresso",NA,NA,NA,NA,NA
"76",76,"Lemon Cake","Truffle Cake","Berry Tart","Almond Bear Claw",NA,NA,NA,NA
"77",77,"Apple Croissant",NA,NA,NA,NA,NA,NA,NA
"78",78,"Lemon Cake","Truffle Cake","Vanilla Eclair","Berry Tart","Gongolais Cookie","Vanilla Meringue",NA,NA
"79",79,"Coffee Eclair","Marzipan Cookie","Almond Croissant","Apple Danish","Almond Twist","Green Tea",NA,NA
"80",80,"Apricot Tart","Apricot Danish","Orange Juice",NA,NA,NA,NA,NA
"81",81,"Truffle Cake","Gongolais Cookie","Apricot Croissant",NA,NA,NA,NA,NA
"82",82,"Coffee Eclair","Apple Pie","Pecan Tart","Tuile Cookie","Almond Twist","Hot Coffee",NA,NA
"83",83,"Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA,NA
"84",84,"Opera Cake","Truffle Cake","Berry Tart","Gongolais Cookie","Apple Danish",NA,NA,NA
"85",85,"Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"86",86,"Hot Coffee",NA,NA,NA,NA,NA,NA,NA
"87",87,"Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"88",88,"Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"89",89,"Truffle Cake","Lemon Tart","Gongolais Cookie","Chocolate Croissant","Green Tea",NA,NA,NA
"90",90,"Chocolate Cake","Casino Cake","Hot Coffee","Chocolate Coffee",NA,NA,NA,NA
"91",91,"Blueberry Tart","Apricot Croissant","Hot Coffee","Vanilla Frappuccino","Cherry Soda",NA,NA,NA
"92",92,"Lemon Cake","Cherry Soda",NA,NA,NA,NA,NA,NA
"93",93,"Lemon Cake","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA
"94",94,"Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"95",95,"Blueberry Tart","Vanilla Meringue","Apricot Croissant","Raspberry Lemonade","Hot Coffee",NA,NA,NA
"96",96,"Lemon Cake","Walnut Cookie","Almond Croissant",NA,NA,NA,NA,NA
"97",97,"Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"98",98,"Lemon Cake",NA,NA,NA,NA,NA,NA,NA
"99",99,"Berry Tart","Gongolais Cookie","Almond Twist",NA,NA,NA,NA,NA
"100",100,"Gongolais Cookie","Chocolate Croissant","Lemon Lemonade",NA,NA,NA,NA,NA
"101",101,"Apple Croissant",NA,NA,NA,NA,NA,NA,NA
