"","ReceiptID","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8"
"1","1","Strawberry Cake","Truffle Cake","Chocolate Eclair","Almond Tart","","","",""
"2","2","Lemon Cake","Apple Tart","Lemon Tart","Chocolate Coffee","Vanilla Frappuccino","","",""
"3","3","Blueberry Tart","Apricot Croissant","","","","","",""
"4","4","Cherry Tart","Lemon Cookie","Apricot Danish","","","","",""
"5","5","Apple Tart","Gongolais Cookie","Marzipan Cookie","Almond Croissant","","","",""
"6","6","Cherry Tart","Walnut Cookie","","","","","",""
"7","7","Chocolate Cake","Casino Cake","Vanilla Eclair","","","","",""
"8","8","Berry Tart","Lemon Lemonade","Bottled Water","","","","",""
"9","9","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"10","10","Apple Tart","Tuile Cookie","Apple Croissant","Apple Danish","Cherry Soda","","",""
"11","11","Berry Tart","Bottled Water","","","","","",""
"12","12","Chocolate Eclair","Marzipan Cookie","Tuile Cookie","","","","",""
"13","13","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino","","","","",""
"14","14","Strawberry Cake","Blueberry Tart","Apricot Croissant","","","","",""
"15","15","Chocolate Cake","Casino Cake","Strawberry Cake","Coffee Eclair","Apple Pie","Almond Twist","Orange Juice",""
"16","16","Apricot Tart","Lemon Lemonade","","","","","",""
"17","17","Berry Tart","","","","","","",""
"18","18","Apricot Tart","Pecan Tart","Apricot Croissant","","","","",""
"19","19","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda","","","",""
"20","20","Chocolate Eclair","Orange Juice","","","","","",""
"21","21","Cherry Tart","Pecan Tart","Gongolais Cookie","Lemon Cookie","","","",""
"22","22","Gongolais Cookie","Raspberry Lemonade","Vanilla Frappuccino","","","","",""
"23","23","Lemon Cookie","Tuile Cookie","Apricot Danish","Orange Juice","","","",""
"24","24","Truffle Cake","Lemon Tart","Gongolais Cookie","Chocolate Meringue","","","",""
"25","25","Napoleon Cake","Ganache Cookie","Walnut Cookie","Almond Croissant","Orange Juice","Hot Coffee","",""
"26","26","Cherry Tart","Apricot Danish","","","","","",""
"27","27","Berry Tart","Bottled Water","","","","","",""
"28","28","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"29","29","Marzipan Cookie","Tuile Cookie","","","","","",""
"30","30","Chocolate Eclair","Berry Tart","Gongolais Cookie","Almond Croissant","Almond Bear Claw","Lemon Lemonade","Chocolate Coffee",""
"31","31","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea","","",""
"32","32","Lemon Cake","Lemon Tart","","","","","",""
"33","33","Truffle Cake","Gongolais Cookie","Almond Twist","","","","",""
"34","34","Chocolate Cake","Casino Cake","Truffle Cake","Chocolate Coffee","","","",""
"35","35","Strawberry Cake","Napoleon Cake","","","","","",""
"36","36","Marzipan Cookie","Tuile Cookie","Cheese Croissant","","","","",""
"37","37","Truffle Cake","Pecan Tart","Gongolais Cookie","Raspberry Lemonade","Bottled Water","","",""
"38","38","Berry Tart","Chocolate Croissant","Blueberry Danish","Bottled Water","","","",""
"39","39","Lemon Cake","Apple Tart","Blueberry Tart","Gongolais Cookie","Blueberry Danish","","",""
"40","40","Casino Cake","Napoleon Cake","Blueberry Tart","Chocolate Tart","Apricot Danish","Hot Coffee","",""
"41","41","Lemon Cookie","Almond Croissant","Cherry Soda","","","","",""
"42","42","Strawberry Cake","Napoleon Cake","Apple Pie","","","","",""
"43","43","Truffle Cake","Gongolais Cookie","","","","","",""
"44","44","Strawberry Cake","Napoleon Cake","","","","","",""
"45","45","Marzipan Cookie","Bottled Water","","","","","",""
"46","46","Pecan Tart","Ganache Cookie","Hot Coffee","","","","",""
"47","47","Berry Tart","Lemon Tart","Lemon Cookie","Walnut Cookie","Cheese Croissant","Chocolate Croissant","Apple Danish","Almond Bear Claw"
"48","48","Lemon Cake","Lemon Tart","Apple Danish","Raspberry Lemonade","Orange Juice","","",""
"49","49","Blueberry Tart","Gongolais Cookie","Apricot Danish","","","","",""
"50","50","Chocolate Eclair","Apple Tart","Ganache Cookie","Almond Croissant","Lemon Lemonade","Bottled Water","",""
"51","51","Lemon Cake","Opera Cake","Strawberry Cake","Napoleon Cake","Lemon Cookie","Apple Danish","Green Tea","Bottled Water"
"52","52","Strawberry Cake","Napoleon Cake","Orange Juice","Vanilla Frappuccino","","","",""
"53","53","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"54","54","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"55","55","Coffee Eclair","Almond Tart","Apple Pie","Almond Twist","Hot Coffee","","",""
"56","56","Strawberry Cake","Napoleon Cake","","","","","",""
"57","57","Cherry Tart","Pecan Tart","Hot Coffee","","","","",""
"58","58","Cherry Tart","Apricot Danish","Bottled Water","","","","",""
"59","59","Hot Coffee","Vanilla Frappuccino","","","","","",""
"60","60","Tuile Cookie","","","","","","",""
"61","61","Chocolate Tart","Walnut Cookie","Hot Coffee","Vanilla Frappuccino","","","",""
"62","62","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea","","",""
"63","63","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda","","","",""
"64","64","Apple Tart","Almond Croissant","Apricot Danish","","","","",""
"65","65","Apple Tart","Berry Tart","Lemon Tart","Raspberry Cookie","Bottled Water","","",""
"66","66","Lemon Cake","","","","","","",""
"67","67","Cherry Tart","Gongolais Cookie","","","","","",""
"68","68","Cheese Croissant","Blueberry Danish","Orange Juice","","","","",""
"69","69","Cheese Croissant","Orange Juice","","","","","",""
"70","70","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"71","71","Chocolate Cake","Coffee Eclair","Marzipan Cookie","","","","",""
"72","72","Blackberry Tart","Marzipan Cookie","","","","","",""
"73","73","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea","","",""
"74","74","Chocolate Cake","Casino Cake","Chocolate Meringue","Chocolate Coffee","","","",""
"75","75","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
